Player,Age,Tm,G,MP,TRB,AST,STL,BLK,PTS,FGA,FG%,3PA,3P%,eFG%,FT%,TOV,PF,PER,TS%,USG%,VORP,WS,TRB%,AST%,STL%,BLK%,TOV%,WS/48,BPM,Year,box,Share_mvp,Rank_mvp,got_votes_mvp,is_mvp,gp_pct
Stephen Curry,27,GSW,79,34.200,5.400,6.700,2.100,0.200,30.100,20.200,0.504,11.200,0.454,0.630,0.908,3.300,2.000,31.500,0.669,32.600,9.500,17.900,8.600,33.700,3.000,0.400,12.900,0.318,11.900,2016,14.400,1.000,1.000,1,1,0.963
LeBron James,28,MIA,76,37.900,8.000,7.300,1.700,0.900,26.800,17.800,0.565,3.300,0.406,0.603,0.753,3.000,1.400,31.600,0.640,30.200,9.900,19.300,13.100,36.400,2.400,1.900,12.400,0.322,11.700,2013,17.900,0.998,1.000,1,1,0.927
Shaquille O'Neal,27,LAL,79,40.000,13.600,3.800,0.500,3.000,29.700,21.100,0.574,0.000,0.000,0.574,0.524,2.800,3.200,30.600,0.578,31.200,8.682,17.944,18.300,19.300,0.600,5.300,9.900,0.283,9.300,2000,20.900,0.998,1.000,1,1,0.963
Kevin Garnett,27,MIN,82,39.400,13.900,5.000,1.500,2.200,24.200,19.600,0.499,0.500,0.256,0.502,0.791,2.600,2.500,29.400,0.547,29.600,9.647,17.654,20.100,24.400,2.000,4.000,10.500,0.272,10.200,2004,22.600,0.991,1.000,1,1,1.000
Kevin Durant,25,OKC,81,38.500,7.400,5.500,1.300,0.700,32.000,20.800,0.503,6.100,0.391,0.560,0.873,3.500,2.100,29.800,0.635,33.000,9.484,18.969,10.800,26.700,1.700,1.500,12.200,0.295,10.200,2014,14.900,0.986,1.000,1,1,0.988
Michael Jordan,32,CHI,82,37.700,6.600,4.300,2.200,0.500,30.400,22.600,0.495,3.200,0.427,0.525,0.834,2.400,2.400,29.400,0.582,33.300,9.682,20.154,10.200,21.200,3.100,1.000,8.400,0.317,10.500,1996,13.600,0.986,1.000,1,1,1.000
LeBron James,25,CLE,76,39.000,7.300,8.600,1.600,1.000,29.700,20.100,0.503,5.100,0.333,0.545,0.767,3.400,1.600,31.100,0.604,33.500,10.300,18.500,11.100,41.800,2.200,2.000,12.300,0.299,11.800,2010,18.500,0.980,1.000,1,1,0.927
Derrick Rose,22,CHI,81,37.400,4.100,7.700,1.000,0.600,25.000,19.700,0.445,4.800,0.332,0.485,0.858,3.400,1.700,23.500,0.550,32.200,6.619,12.942,6.400,38.700,1.500,1.300,13.100,0.208,6.800,2011,13.400,0.977,1.000,1,1,0.988
LeBron James,24,CLE,81,37.700,7.600,7.200,1.700,1.100,28.400,19.900,0.489,4.700,0.344,0.530,0.780,3.000,1.700,31.700,0.591,33.800,11.800,20.300,11.900,38.000,2.400,2.400,11.000,0.318,13.200,2009,17.600,0.969,1.000,1,1,0.988
James Harden,28,HOU,72,35.400,5.400,8.800,1.800,0.700,30.400,20.100,0.449,10.000,0.367,0.541,0.858,4.400,2.300,29.800,0.619,36.100,7.700,15.400,8.600,45.100,2.400,1.700,15.100,0.289,9.900,2018,16.700,0.955,1.000,1,1,0.878
Michael Jordan,28,CHI,80,38.800,6.400,6.100,2.300,0.900,30.100,22.700,0.519,1.300,0.270,0.526,0.832,2.500,2.500,27.700,0.579,31.700,8.981,17.279,9.500,25.700,3.000,1.500,8.800,0.274,9.700,1992,15.700,0.938,1.000,1,1,0.976
Michael Jordan,34,CHI,82,38.800,5.800,3.500,1.700,0.500,28.700,23.100,0.465,1.500,0.238,0.473,0.784,2.300,1.800,25.200,0.533,33.700,7.100,15.800,8.500,18.000,2.400,1.000,7.700,0.238,6.900,1998,11.500,0.934,1.000,1,1,1.000
Giannis Antetokounmpo,24,MIL,72,32.800,12.500,5.900,1.300,1.500,27.700,17.300,0.578,2.800,0.256,0.599,0.729,3.700,3.200,30.900,0.644,32.300,7.400,14.400,19.300,30.300,1.800,3.900,14.800,0.292,10.400,2019,21.200,0.932,1.000,1,1,0.878
Michael Jordan,27,CHI,82,37.000,6.000,5.500,2.700,1.000,31.500,22.400,0.539,1.100,0.312,0.547,0.851,2.500,2.800,31.600,0.605,32.900,10.800,20.300,9.500,25.200,3.700,1.700,8.700,0.321,12.000,1991,15.200,0.928,1.000,1,1,1.000
Stephen Curry,26,GSW,80,32.700,4.300,7.700,2.000,0.200,23.800,16.800,0.487,8.100,0.443,0.594,0.914,3.100,2.000,28.000,0.638,28.900,7.805,15.511,7.000,38.600,3.000,0.500,14.300,0.288,9.900,2015,14.200,0.922,1.000,1,1,0.976
Allen Iverson,25,PHI,71,42.000,3.800,4.600,2.500,0.300,31.100,25.500,0.420,4.300,0.320,0.447,0.814,3.300,2.100,24.000,0.518,35.900,6.027,11.658,5.200,23.000,3.200,0.500,10.000,0.190,6.100,2001,11.200,0.904,1.000,1,1,0.866
LeBron James,27,MIA,62,37.500,7.900,6.200,1.900,0.800,27.100,18.900,0.531,2.400,0.362,0.554,0.771,3.400,1.500,30.700,0.605,32.000,9.442,18.015,12.600,33.600,2.600,1.700,13.300,0.298,10.900,2012,16.800,0.888,1.000,1,1,0.756
Dirk Nowitzki,28,DAL,78,36.200,8.900,3.400,0.700,0.800,24.600,17.200,0.502,2.200,0.416,0.529,0.904,2.100,2.200,27.600,0.605,28.900,7.400,16.300,14.800,17.800,1.000,1.700,9.500,0.278,8.300,2007,13.800,0.882,1.000,1,1,0.951
Hakeem Olajuwon,31,HOU,80,41.000,11.900,3.600,1.600,3.700,27.300,21.200,0.528,0.200,0.421,0.530,0.716,3.400,3.600,25.300,0.565,29.800,7.300,14.300,16.200,16.400,2.000,5.700,12.300,0.210,6.800,1994,20.800,0.880,1.000,1,1,0.976
Russell Westbrook,28,OKC,81,34.600,10.700,10.400,1.600,0.400,31.600,24.000,0.425,7.200,0.343,0.476,0.845,5.400,2.300,30.600,0.554,41.700,9.300,13.100,17.100,57.300,2.300,0.900,15.900,0.224,11.100,2017,23.100,0.879,1.000,1,1,0.988
Kobe Bryant,29,LAL,82,38.900,6.300,5.400,1.800,0.500,28.300,20.600,0.459,5.100,0.361,0.503,0.840,3.100,2.800,24.200,0.576,31.400,6.300,13.800,9.000,23.900,2.400,0.900,11.300,0.208,5.800,2008,14.000,0.873,1.000,1,1,1.000
David Robinson,29,SAS,81,38.000,10.800,2.900,1.700,3.200,27.600,18.400,0.530,0.200,0.300,0.532,0.774,2.900,2.800,29.100,0.602,29.900,8.700,17.500,16.200,13.700,2.200,5.900,11.100,0.273,9.200,1995,18.600,0.858,1.000,1,1,0.988
Karl Malone,33,UTA,82,36.600,9.900,4.500,1.400,0.600,27.400,19.200,0.550,0.200,0.000,0.550,0.755,2.800,2.600,28.900,0.600,32.700,7.706,16.499,16.800,24.500,2.000,1.300,11.100,0.268,8.300,1997,16.400,0.857,1.000,1,1,1.000
Charles Barkley,29,PHO,76,37.600,12.200,5.100,1.600,1.000,25.600,18.100,0.520,2.900,0.305,0.545,0.765,3.100,2.600,25.900,0.596,26.900,7.014,14.227,18.100,21.200,2.000,1.600,12.500,0.242,7.800,1993,19.900,0.852,1.000,1,1,0.927
Steve Nash,30,PHO,75,34.300,3.300,11.500,1.000,0.100,15.500,11.400,0.502,2.900,0.431,0.557,0.887,3.300,1.800,22.000,0.606,20.500,4.295,10.640,5.200,49.200,1.400,0.200,20.300,0.203,4.700,2005,15.900,0.839,1.000,1,1,0.915
Michael Jordan,33,CHI,82,37.900,5.900,4.300,1.700,0.500,29.600,23.100,0.486,3.600,0.374,0.516,0.833,2.000,1.900,27.800,0.567,33.200,8.496,18.080,8.800,21.200,2.400,1.100,7.200,0.283,8.900,1997,12.400,0.832,2.000,1,0,1.000
Michael Jordan,24,CHI,82,40.400,5.500,5.900,3.200,1.600,35.000,24.400,0.535,0.600,0.132,0.537,0.841,3.100,3.300,31.700,0.603,34.100,12.202,20.695,7.800,27.000,3.900,2.400,9.600,0.308,13.000,1988,16.200,0.831,1.000,1,1,1.000
Shaquille O'Neal,32,MIA,73,34.100,10.400,2.700,0.500,2.300,22.900,15.000,0.601,0.000,,0.601,0.461,2.800,3.600,27.000,0.583,30.500,4.490,10.738,17.800,15.700,0.800,5.000,12.400,0.211,5.300,2005,15.900,0.813,2.000,1,0,0.890
Tim Duncan,26,SAS,81,39.300,12.900,3.900,0.700,2.900,23.300,17.200,0.513,0.300,0.273,0.515,0.710,3.100,2.900,26.900,0.564,28.000,7.607,16.301,19.000,19.500,0.900,5.200,12.900,0.248,7.600,2003,20.400,0.808,1.000,1,1,0.988
Steve Nash,32,PHO,76,35.300,3.500,11.600,0.800,0.100,18.600,12.800,0.532,4.500,0.455,0.613,0.899,3.800,1.500,23.800,0.654,22.900,5.300,12.600,5.800,50.100,1.100,0.200,21.000,0.225,5.900,2007,16.000,0.785,2.000,1,0,0.927
Magic Johnson,29,LAL,77,37.500,7.900,12.800,1.800,0.300,22.500,14.800,0.509,2.400,0.314,0.535,0.911,4.100,2.200,26.900,0.625,24.300,8.300,16.100,11.700,48.600,2.300,0.400,18.400,0.267,9.400,1989,22.800,0.782,1.000,1,1,0.939
James Harden,29,HOU,78,36.800,6.600,7.500,2.000,0.700,36.100,24.500,0.442,13.200,0.368,0.541,0.879,5.000,3.100,30.600,0.616,40.500,9.300,15.200,10.000,39.500,2.700,1.700,14.500,0.254,11.000,2019,16.800,0.768,2.000,1,0,0.951
Tim Duncan,25,SAS,82,40.600,12.700,3.700,0.700,2.500,25.500,18.300,0.508,0.100,0.100,0.508,0.799,3.200,2.600,27.000,0.576,29.000,7.904,17.586,18.000,18.300,1.000,4.300,12.700,0.257,7.600,2002,19.600,0.757,1.000,1,1,1.000
James Harden,27,HOU,81,36.400,8.100,11.200,1.500,0.500,29.100,18.900,0.440,9.300,0.347,0.525,0.847,5.700,2.700,27.400,0.613,34.200,8.000,15.000,12.200,50.700,2.000,1.000,19.500,0.245,8.700,2017,21.300,0.746,2.000,1,0,0.988
Steve Nash,31,PHO,79,35.400,4.200,10.500,0.800,0.200,18.800,13.400,0.512,4.300,0.439,0.583,0.921,3.500,1.500,23.300,0.632,23.300,4.900,12.400,6.600,44.400,1.100,0.300,19.000,0.212,5.000,2006,15.700,0.739,1.000,1,1,0.963
Kevin Durant,23,OKC,66,38.600,8.000,3.500,1.300,1.200,28.000,19.700,0.496,5.200,0.387,0.547,0.860,3.800,2.000,26.200,0.610,31.300,7.206,15.158,11.800,17.500,1.800,2.200,14.000,0.230,7.000,2012,14.000,0.735,2.000,1,0,0.805
Kevin Garnett,26,MIN,82,40.500,13.400,6.000,1.400,1.600,23.000,18.100,0.502,0.900,0.282,0.508,0.751,2.800,2.400,26.400,0.553,26.400,8.595,15.412,18.800,25.800,1.800,2.800,11.900,0.225,8.400,2003,22.400,0.732,2.000,1,0,1.000
LeBron James,33,CLE,82,36.900,8.600,9.100,1.400,0.900,27.500,19.300,0.542,5.000,0.367,0.590,0.731,4.200,1.700,28.600,0.621,31.600,8.200,14.000,13.100,44.400,1.900,2.000,16.100,0.221,8.700,2018,20.000,0.731,2.000,1,0,1.000
Karl Malone,34,UTA,81,37.400,10.300,3.900,1.200,0.900,27.000,18.200,0.530,0.100,0.333,0.531,0.761,3.000,2.900,27.900,0.597,31.800,7.100,16.400,17.100,20.900,1.700,1.700,11.900,0.259,7.300,1998,16.300,0.726,2.000,1,0,0.988
David Robinson,28,SAS,80,40.500,10.700,4.800,1.700,3.300,29.800,20.700,0.507,0.400,0.345,0.510,0.749,3.200,2.900,30.700,0.577,32.000,11.400,20.000,14.800,21.600,2.300,5.400,10.900,0.296,11.900,1994,20.500,0.723,2.000,1,0,0.976
James Harden,25,HOU,81,36.800,5.700,7.000,1.900,0.700,27.400,18.100,0.440,6.900,0.375,0.511,0.868,4.000,2.600,26.700,0.605,31.300,8.002,16.202,8.500,34.600,2.600,1.600,14.900,0.265,8.800,2015,15.300,0.720,2.000,1,0,0.988
LeBron James,29,MIA,77,37.700,6.900,6.300,1.600,0.300,27.100,17.600,0.567,4.000,0.379,0.610,0.750,3.500,1.600,29.300,0.649,31.000,7.805,15.708,11.500,32.000,2.200,0.800,14.400,0.264,8.800,2014,15.100,0.713,2.000,1,0,0.939
Jason Kidd,28,NJN,82,37.300,7.300,9.900,2.100,0.200,14.700,13.900,0.391,4.400,0.321,0.442,0.814,3.500,1.700,19.100,0.484,22.500,4.940,8.793,10.900,42.500,3.000,0.500,18.700,0.140,4.500,2002,19.500,0.712,2.000,1,0,1.000
Chris Paul,22,NOH,80,37.600,4.000,11.600,2.700,0.100,21.100,16.100,0.488,3.100,0.369,0.524,0.851,2.500,2.300,28.300,0.576,25.700,9.300,17.800,6.200,52.200,3.900,0.100,12.100,0.284,10.400,2008,18.400,0.710,2.000,1,0,0.976
Michael Jordan,25,CHI,81,40.200,8.000,8.000,2.900,0.800,32.500,22.200,0.538,1.200,0.276,0.546,0.850,3.600,3.000,31.100,0.614,32.100,11.400,19.800,11.600,34.700,3.600,1.200,11.900,0.292,11.900,1989,19.700,0.704,2.000,1,0,0.988
Karl Malone,35,UTA,49,37.400,9.400,4.100,1.300,0.600,23.800,16.300,0.493,0.000,0.000,0.493,0.788,3.300,2.700,25.600,0.577,30.500,6.560,15.744,15.400,23.000,1.900,1.200,13.800,0.252,6.700,1999,15.400,0.701,1.000,1,1,0.598
Magic Johnson,30,LAL,79,37.200,6.600,11.500,1.700,0.400,22.300,14.400,0.480,3.500,0.384,0.526,0.890,3.700,2.100,26.600,0.622,24.800,8.900,16.500,10.200,45.500,2.200,0.700,16.900,0.270,10.100,1990,20.200,0.691,1.000,1,1,0.963
Charles Barkley,26,PHI,79,39.100,11.500,3.900,1.900,0.600,25.200,14.900,0.600,1.200,0.217,0.608,0.749,3.100,3.200,27.100,0.661,24.000,8.000,17.300,16.700,15.600,2.400,1.000,13.900,0.269,8.200,1990,17.900,0.667,2.000,1,0,0.963
Hakeem Olajuwon,30,HOU,82,39.500,13.000,3.500,1.800,4.200,26.100,19.500,0.529,0.100,0.000,0.529,0.779,3.200,3.700,27.300,0.577,28.800,7.706,15.610,18.700,15.800,2.400,6.500,12.400,0.234,7.500,1993,22.500,0.660,2.000,1,0,1.000
Larry Bird,31,BOS,76,39.000,9.300,6.100,1.600,0.800,29.900,22.000,0.527,3.100,0.414,0.556,0.916,2.800,2.100,27.800,0.608,30.200,7.907,14.643,14.000,25.700,2.100,1.100,10.200,0.243,8.800,1988,17.800,0.659,2.000,1,0,0.927
Alonzo Mourning,28,MIA,46,38.100,11.000,1.600,0.700,3.900,20.100,13.800,0.511,0.000,0.000,0.511,0.652,3.000,3.500,24.600,0.563,27.100,4.920,12.956,17.500,8.700,1.100,7.700,14.500,0.216,4.700,1999,17.200,0.655,2.000,1,0,0.561
Magic Johnson,28,LAL,72,36.600,6.200,11.900,1.600,0.200,19.600,13.800,0.492,0.800,0.196,0.497,0.853,3.700,2.000,23.100,0.581,23.400,5.174,10.640,9.700,45.400,2.100,0.300,18.200,0.199,6.000,1988,19.900,0.635,3.000,1,0,0.878
Kevin Durant,24,OKC,81,38.500,7.900,4.600,1.400,1.300,28.100,17.700,0.510,4.100,0.416,0.559,0.905,3.500,1.800,28.300,0.647,29.800,8.900,18.900,11.800,21.700,1.900,2.600,13.700,0.291,9.300,2013,15.200,0.632,2.000,1,0,0.988
Tim Duncan,22,SAS,50,39.300,11.400,2.400,0.900,2.500,21.700,16.900,0.495,0.100,0.143,0.495,0.690,2.900,2.900,23.200,0.541,27.200,5.248,14.268,16.300,12.100,1.200,4.400,12.700,0.213,4.500,1999,17.200,0.627,3.000,1,0,0.610
Michael Jordan,26,CHI,82,39.000,6.900,6.300,2.800,0.700,33.600,24.000,0.526,3.000,0.376,0.550,0.848,3.000,2.900,31.200,0.606,33.700,10.600,19.000,10.400,28.600,3.500,1.100,9.800,0.285,11.200,1990,16.700,0.613,3.000,1,0,1.000
Clyde Drexler,29,POR,76,36.200,6.600,6.700,1.800,0.900,25.000,19.400,0.470,4.400,0.337,0.509,0.794,3.200,3.000,23.600,0.560,28.700,7.224,12.495,9.900,29.900,2.400,1.600,12.400,0.223,8.700,1992,16.000,0.584,2.000,1,0,0.927
Tim Duncan,27,SAS,69,36.600,12.400,3.100,0.900,2.700,22.300,17.100,0.501,0.200,0.167,0.502,0.599,2.700,2.400,27.100,0.534,29.700,6.464,12.638,19.000,17.400,1.300,5.300,11.300,0.249,8.500,2004,19.100,0.582,2.000,1,0,0.841
Kobe Bryant,30,LAL,82,36.100,5.200,4.900,1.500,0.500,26.800,20.900,0.467,4.100,0.351,0.502,0.856,2.600,2.300,24.400,0.561,32.200,5.900,12.700,8.200,23.800,2.100,1.000,9.700,0.206,5.900,2009,12.100,0.577,2.000,1,0,1.000
Michael Jordan,29,CHI,78,39.300,6.700,5.500,2.800,0.800,32.600,25.700,0.495,2.900,0.352,0.515,0.837,2.700,2.400,29.700,0.564,34.700,10.077,16.993,9.800,25.200,3.700,1.300,8.400,0.270,11.200,1993,15.800,0.577,3.000,1,0,0.951
Shaquille O'Neal,22,ORL,79,37.000,11.400,2.700,0.900,2.400,29.300,20.200,0.583,0.100,0.000,0.583,0.533,2.600,3.300,28.600,0.588,31.900,5.700,14.000,17.600,13.300,1.300,4.500,9.400,0.230,5.800,1995,17.400,0.576,2.000,1,0,0.963
Tim Duncan,24,SAS,82,38.700,12.200,3.000,0.900,2.300,22.200,17.100,0.499,0.300,0.259,0.502,0.618,3.000,3.000,23.800,0.536,28.700,5.335,13.041,17.800,15.300,1.200,4.200,12.500,0.200,4.700,2001,18.400,0.569,2.000,1,0,1.000
Dwyane Wade,27,MIA,79,38.600,5.000,7.500,2.200,1.300,30.200,22.000,0.491,3.500,0.317,0.516,0.765,3.400,2.300,30.400,0.574,36.200,9.600,14.700,7.800,40.300,3.000,2.800,11.600,0.232,10.600,2009,16.000,0.562,3.000,1,0,0.963
Shaquille O'Neal,29,LAL,67,36.100,10.700,3.000,0.600,2.000,27.200,18.300,0.579,0.000,0.000,0.579,0.555,2.600,3.000,29.700,0.590,31.800,6.027,13.041,16.300,16.400,0.900,4.100,10.000,0.262,8.000,2002,16.300,0.552,3.000,1,0,0.817
LeBron James,21,CLE,79,42.500,7.000,6.600,1.600,0.800,31.400,23.100,0.480,4.800,0.335,0.515,0.738,3.300,2.300,28.100,0.568,33.600,9.400,16.300,9.800,32.800,2.000,1.500,10.700,0.232,9.100,2006,16.000,0.550,2.000,1,0,0.963
Kevin Garnett,31,BOS,71,32.800,9.200,3.400,1.400,1.300,18.800,13.900,0.539,0.200,0.000,0.539,0.801,1.900,2.300,25.300,0.588,25.500,6.000,12.900,16.800,19.900,2.300,3.100,10.800,0.265,8.200,2008,15.300,0.532,3.000,1,0,0.866
Dwight Howard,25,ORL,78,37.600,14.100,1.400,1.400,2.400,22.900,13.400,0.593,0.100,0.000,0.593,0.596,3.600,3.300,26.100,0.616,27.200,5.335,14.227,21.800,6.800,1.900,4.900,16.200,0.235,5.300,2011,19.300,0.531,2.000,1,0,0.951
Magic Johnson,31,LAL,79,37.100,7.000,12.500,1.300,0.200,19.400,12.400,0.477,3.200,0.320,0.518,0.906,4.000,1.900,25.100,0.623,22.900,8.100,15.400,10.900,49.300,1.800,0.300,20.400,0.251,9.000,1991,21.000,0.518,2.000,1,0,0.963
David Robinson,30,SAS,82,36.800,12.200,3.000,1.400,3.300,25.000,16.800,0.516,0.100,0.333,0.517,0.761,2.300,3.200,29.400,0.589,28.800,8.200,18.080,18.400,14.600,1.900,6.400,9.800,0.290,8.900,1996,19.900,0.508,2.000,1,0,1.000
Karl Malone,31,UTA,82,38.100,10.600,3.500,1.600,1.000,26.700,18.900,0.536,0.500,0.268,0.540,0.742,2.900,3.300,25.100,0.590,30.300,6.000,13.800,17.400,16.400,2.100,2.200,11.300,0.212,5.600,1995,16.700,0.507,3.000,1,0,1.000
David Robinson,25,SAS,82,37.700,13.000,2.500,1.500,3.900,25.600,16.700,0.552,0.100,0.143,0.552,0.762,3.300,3.200,27.400,0.615,26.600,8.200,17.000,19.000,10.900,2.000,6.200,13.700,0.264,8.500,1991,20.900,0.496,3.000,1,0,1.000
Kawhi Leonard,25,SAS,74,33.400,5.800,3.500,1.800,0.700,25.500,17.700,0.485,5.200,0.380,0.541,0.880,2.100,1.600,27.600,0.610,31.100,7.100,13.600,9.800,18.900,2.700,1.800,9.100,0.264,9.400,2017,11.800,0.495,3.000,1,0,0.902
Kevin Durant,21,OKC,82,39.500,7.600,2.800,1.400,1.000,30.100,20.300,0.476,4.300,0.365,0.514,0.900,3.300,2.100,26.200,0.607,32.000,7.500,16.100,11.000,13.500,1.800,1.900,11.700,0.238,7.100,2010,12.800,0.495,2.000,1,0,1.000
Kobe Bryant,31,LAL,73,38.800,5.400,5.000,1.500,0.300,27.000,21.500,0.456,4.100,0.329,0.488,0.811,3.200,2.600,21.900,0.545,32.300,4.400,9.400,7.700,23.800,2.100,0.500,11.400,0.160,4.100,2010,12.200,0.487,3.000,1,0,0.890
Kawhi Leonard,24,SAS,72,33.100,6.800,2.600,1.800,1.000,21.200,15.100,0.506,4.000,0.443,0.565,0.874,1.500,1.800,26.000,0.616,25.800,6.700,13.700,11.800,13.000,2.800,2.300,7.800,0.277,9.100,2016,12.200,0.484,2.000,1,0,0.878
LeBron James,31,CLE,76,35.600,7.400,6.800,1.400,0.600,25.300,18.600,0.520,3.700,0.309,0.551,0.731,3.300,1.900,27.500,0.588,31.400,7.500,13.600,11.800,36.000,2.000,1.500,13.200,0.242,9.000,2016,16.200,0.482,3.000,1,0,0.927
Shaquille O'Neal,28,LAL,74,39.500,12.700,3.700,0.600,2.800,28.700,19.200,0.572,0.000,0.000,0.572,0.513,2.900,3.500,30.200,0.574,31.600,7.014,14.720,18.100,18.800,0.800,4.900,10.500,0.245,7.700,2001,19.800,0.466,3.000,1,0,0.902
Anthony Davis,24,NOP,75,36.400,11.100,2.300,1.500,2.600,28.100,19.500,0.534,2.200,0.340,0.552,0.828,2.200,2.100,28.900,0.612,30.000,5.900,13.700,16.500,10.800,2.000,5.600,8.600,0.241,6.700,2018,17.500,0.441,3.000,1,0,0.915
Dirk Nowitzki,27,DAL,81,38.100,9.000,2.800,0.700,1.000,26.600,19.300,0.480,3.300,0.406,0.515,0.901,1.900,2.000,28.100,0.589,30.000,7.900,17.700,14.200,14.700,1.000,2.100,7.900,0.275,8.100,2006,13.500,0.435,3.000,1,0,0.988
LeBron James,26,MIA,79,38.800,7.500,7.000,1.600,0.600,26.700,18.800,0.510,3.500,0.330,0.541,0.759,3.600,2.100,27.300,0.594,31.500,7.706,15.412,11.400,34.900,2.100,1.300,13.800,0.244,8.100,2011,16.700,0.431,3.000,1,0,0.963
Karl Malone,25,UTA,80,39.100,10.700,2.700,1.800,0.900,29.100,19.500,0.519,0.200,0.313,0.521,0.766,3.600,3.600,24.400,0.592,30.400,5.900,15.200,15.100,12.800,2.300,1.300,12.700,0.233,5.400,1989,16.100,0.426,3.000,1,0,0.976
LeBron James,30,CLE,69,36.100,6.000,7.400,1.600,0.700,25.300,18.500,0.488,4.900,0.354,0.535,0.710,3.900,2.000,25.900,0.577,32.300,5.631,10.275,9.600,38.600,2.300,1.600,15.300,0.199,7.100,2015,15.700,0.425,3.000,1,0,0.841
Jermaine O'Neal,25,IND,78,35.700,10.000,2.100,0.800,2.600,20.100,17.900,0.434,0.200,0.111,0.435,0.757,2.300,3.200,21.100,0.489,30.200,2.991,8.682,16.500,12.300,1.200,5.500,10.100,0.155,2.400,2004,15.500,0.425,3.000,1,0,0.951
Chris Webber,27,SAC,70,40.500,11.100,4.200,1.300,1.700,27.100,23.400,0.481,0.400,0.071,0.481,0.703,2.800,3.200,24.700,0.516,31.600,5.236,10.867,14.800,20.600,1.700,2.800,9.600,0.186,5.500,2001,18.300,0.420,4.000,1,0,0.854
Kobe Bryant,24,LAL,82,41.500,6.900,5.900,2.200,0.800,30.000,23.500,0.451,4.000,0.383,0.483,0.843,3.500,2.700,26.200,0.550,32.900,7.607,14.720,9.300,27.200,2.800,1.400,11.400,0.210,7.100,2003,15.800,0.417,3.000,1,0,1.000
Kobe Bryant,28,LAL,77,40.800,5.700,5.400,1.400,0.500,31.600,22.800,0.463,5.200,0.344,0.502,0.868,3.300,2.700,26.100,0.580,33.600,6.100,13.000,8.200,25.500,1.800,0.900,10.900,0.199,5.900,2007,13.000,0.404,3.000,1,0,0.939
Carmelo Anthony,28,NYK,67,37.000,6.900,2.600,0.800,0.500,28.700,22.200,0.449,6.200,0.379,0.502,0.830,2.600,3.100,24.800,0.560,35.600,3.900,9.500,10.800,14.100,1.100,1.100,9.300,0.184,4.300,2013,10.800,0.393,3.000,1,0,0.817
Dwight Howard,24,ORL,82,34.700,13.200,1.800,0.900,2.800,18.300,10.200,0.612,0.100,0.000,0.612,0.592,3.300,3.500,24.000,0.630,23.900,4.600,13.200,22.000,8.700,1.400,6.000,18.700,0.223,4.400,2010,18.700,0.389,4.000,1,0,1.000
Kobe Bryant,27,LAL,80,41.000,5.300,4.500,1.800,0.400,35.400,27.200,0.450,6.500,0.347,0.491,0.850,3.100,2.900,28.000,0.559,38.700,8.000,15.300,7.600,24.100,2.400,0.700,9.000,0.224,7.600,2006,12.000,0.386,4.000,1,0,0.976
Scottie Pippen,28,CHI,72,38.300,8.700,5.600,2.900,0.800,22.000,17.800,0.491,2.700,0.320,0.515,0.660,3.200,3.200,23.200,0.544,27.100,6.800,11.200,13.300,24.600,4.000,1.400,13.700,0.194,7.700,1994,18.000,0.386,3.000,1,0,0.878
Gary Payton,29,SEA,82,38.400,4.600,8.300,2.300,0.200,19.200,15.600,0.453,4.800,0.338,0.505,0.744,2.800,2.400,21.600,0.544,24.600,5.700,12.500,7.100,36.700,3.100,0.400,13.700,0.190,5.100,1998,15.400,0.372,3.000,1,0,1.000
Russell Westbrook,27,OKC,80,34.400,7.800,10.400,2.000,0.300,23.500,18.100,0.454,4.300,0.296,0.489,0.812,4.300,2.500,27.600,0.554,31.600,6.800,14.000,12.400,49.600,2.900,0.600,16.800,0.245,7.800,2016,20.500,0.371,4.000,1,0,0.976
Patrick Ewing,30,NYK,81,37.100,12.100,1.900,0.900,2.000,24.200,19.100,0.503,0.100,0.143,0.503,0.719,3.300,3.500,20.800,0.546,29.700,3.952,10.472,18.200,9.200,1.300,3.600,12.900,0.170,3.400,1993,16.900,0.366,4.000,1,0,0.988
Tracy McGrady,23,ORL,75,39.400,6.500,5.500,1.700,0.800,32.100,24.200,0.457,6.000,0.386,0.505,0.793,2.600,2.100,30.300,0.564,35.200,9.188,15.906,9.500,30.000,2.200,1.500,8.400,0.262,10.500,2003,14.500,0.359,4.000,1,0,0.915
Kobe Bryant,32,LAL,82,33.900,5.100,4.700,1.200,0.100,25.300,20.000,0.451,4.300,0.323,0.487,0.828,3.000,2.100,23.900,0.548,35.100,4.940,10.176,8.500,26.700,1.900,0.300,11.400,0.178,5.200,2011,11.100,0.354,4.000,1,0,1.000
Paul George,28,OKC,77,36.900,8.200,4.100,2.200,0.400,28.000,21.000,0.438,9.800,0.386,0.529,0.839,2.700,2.800,23.300,0.583,29.500,6.600,11.900,11.400,17.700,2.800,1.000,10.000,0.201,7.200,2019,14.900,0.352,3.000,1,0,0.939
David Robinson,26,SAS,68,37.700,12.200,2.700,2.300,4.500,23.200,15.800,0.551,0.100,0.125,0.552,0.701,2.700,3.200,27.500,0.597,24.700,7.224,13.569,17.700,11.300,3.100,7.400,12.100,0.260,9.400,1992,21.700,0.351,3.000,1,0,0.829
