Player,Age,Tm,G,MP,TRB,AST,STL,BLK,PTS,FGA,FG%,3PA,3P%,eFG%,FT%,TOV,PF,PER,TS%,USG%,VORP,WS,TRB%,AST%,STL%,BLK%,TOV%,WS/48,BPM,Year,box,Share_mvp,Rank_mvp,got_votes_mvp,is_mvp,gp_pct
Brad Miller,31,SAC,72,34.900,9.500,3.700,1.000,1.000,13.400,10.100,0.463,1.300,0.311,0.482,0.848,2.300,3.400,16.800,0.558,18.300,2.300,6.500,16.000,16.600,1.400,2.300,16.000,0.125,1.700,2008,15.200,0.000,,0,0,0.878
Mike Miller,27,MEM,70,35.300,6.700,3.400,0.500,0.200,16.400,11.800,0.502,5.100,0.432,0.596,0.774,2.600,2.100,16.100,0.625,19.800,2.000,5.000,10.600,16.000,0.700,0.500,16.600,0.098,1.100,2008,10.800,0.000,,0,0,0.854
Yao Ming,27,HOU,55,37.200,10.800,2.300,0.500,2.000,22.000,15.500,0.507,0.000,0.000,0.507,0.850,3.300,3.100,22.500,0.587,27.100,2.800,8.300,16.400,11.500,0.600,4.000,15.100,0.196,3.400,2008,15.600,0.000,,0,0,0.671
Cuttino Mobley,32,LAC,77,35.100,3.600,2.600,1.000,0.400,12.800,11.300,0.433,2.500,0.349,0.472,0.819,1.600,2.000,11.500,0.514,18.500,-0.200,2.100,5.900,13.100,1.500,0.900,11.400,0.037,-2.300,2008,7.600,0.000,,0,0,0.939
Jamario Moon,27,TOR,78,27.800,6.200,1.200,1.000,1.400,8.500,7.400,0.485,1.600,0.328,0.520,0.741,0.700,1.900,15.000,0.540,14.400,2.200,5.700,13.200,6.200,2.000,4.000,7.700,0.126,1.900,2008,9.800,0.000,,0,0,0.951
Mikki Moore,32,SAC,82,29.100,6.000,1.000,0.400,0.600,8.500,6.000,0.577,0.000,0.000,0.577,0.736,1.300,3.800,11.500,0.613,12.700,-0.300,4.600,12.200,5.400,0.700,1.500,16.200,0.092,-2.400,2008,8.000,0.000,,0,0,1.000
Troy Murphy,27,IND,75,28.100,7.200,2.200,0.700,0.400,12.200,9.200,0.455,3.100,0.398,0.522,0.797,1.300,2.900,16.000,0.573,18.400,1.700,6.200,14.000,12.300,1.100,1.100,10.700,0.141,1.200,2008,10.500,0.000,,0,0,0.915
Juan Carlos Navarro,27,MEM,82,25.800,2.600,2.200,0.600,0.000,10.900,9.300,0.402,5.300,0.361,0.504,0.849,1.600,1.100,11.900,0.540,20.200,-0.200,1.400,5.600,13.300,1.100,0.000,13.900,0.031,-2.300,2008,5.400,0.000,,0,0,1.000
Jameer Nelson,25,ORL,69,28.400,3.500,5.600,0.900,0.100,10.900,8.700,0.469,2.200,0.416,0.522,0.828,2.000,2.400,15.500,0.564,19.000,1.600,5.600,7.100,31.100,1.700,0.100,17.400,0.136,1.200,2008,10.100,0.000,,0,0,0.841
Jermaine O'Neal,29,IND,42,28.700,6.700,2.200,0.500,2.100,13.600,12.200,0.439,0.100,0.000,0.439,0.742,2.500,3.100,14.400,0.489,24.800,0.100,0.900,12.800,12.900,0.800,5.400,15.400,0.035,-1.800,2008,11.500,0.000,,0,0,0.512
Lamar Odom,28,LAL,77,37.900,10.600,3.500,1.000,0.900,14.200,10.300,0.525,1.500,0.274,0.544,0.698,2.000,2.900,16.900,0.582,16.500,3.200,9.700,15.600,13.800,1.300,1.800,14.200,0.159,2.300,2008,16.000,0.000,,0,0,0.939
Emeka Okafor,25,CHA,82,33.100,10.700,0.900,0.800,1.700,13.800,10.500,0.535,0.000,,0.535,0.570,2.000,2.900,17.400,0.553,20.000,0.600,5.800,18.500,4.500,1.200,3.900,13.800,0.103,-1.100,2008,14.100,0.000,,0,0,1.000
Mehmet Okur,28,UTA,72,33.200,7.700,2.000,0.800,0.400,14.500,11.700,0.445,4.100,0.388,0.512,0.804,1.400,3.300,15.200,0.556,19.600,1.700,6.700,14.200,9.000,1.200,1.000,9.900,0.134,0.800,2008,10.900,0.000,,0,0,0.878
Travis Outlaw,23,POR,82,26.700,4.600,1.300,0.700,0.800,13.300,11.800,0.433,1.200,0.396,0.453,0.741,1.300,2.100,15.700,0.499,26.000,1.000,3.200,10.100,8.900,1.500,2.200,8.900,0.071,-0.300,2008,7.400,0.000,,0,0,1.000
Anthony Parker,32,TOR,82,32.100,4.100,2.200,1.000,0.200,12.500,10.100,0.476,3.700,0.438,0.557,0.816,1.100,1.900,14.400,0.580,17.400,1.900,6.200,7.500,10.800,1.600,0.500,9.000,0.113,0.900,2008,7.500,0.000,,0,0,1.000
Tony Parker,25,SAS,69,33.500,3.200,6.000,0.800,0.100,18.800,15.100,0.494,1.000,0.258,0.502,0.715,2.400,1.300,20.000,0.542,28.200,2.600,7.000,5.600,34.100,1.300,0.300,12.100,0.146,2.400,2008,10.100,0.000,,0,0,0.841
Kasib Powell,26,MIA,11,27.600,4.000,1.600,0.800,0.200,7.600,8.600,0.368,3.000,0.242,0.411,0.667,0.500,1.600,9.000,0.424,16.200,-0.100,0.000,8.700,10.000,1.600,0.500,4.800,0.006,-3.800,2008,6.600,0.000,,0,0,0.134
Tayshaun Prince,27,DET,82,32.900,4.900,3.300,0.500,0.400,13.200,11.500,0.448,1.800,0.363,0.476,0.768,1.100,1.100,15.600,0.516,19.900,2.500,7.500,8.800,16.500,0.900,1.000,8.000,0.133,1.600,2008,9.100,0.000,,0,0,1.000
Zach Randolph,26,NYK,69,32.500,10.300,2.000,0.900,0.200,17.600,15.300,0.459,1.200,0.275,0.470,0.772,2.700,2.800,18.000,0.513,27.400,0.800,3.000,18.000,11.800,1.400,0.600,13.600,0.063,-0.600,2008,13.400,0.000,,0,0,0.841
Michael Redd,28,MIL,72,37.500,4.300,3.400,0.900,0.200,22.700,17.300,0.442,5.000,0.362,0.495,0.820,2.500,1.700,18.800,0.559,27.300,2.400,5.800,6.700,16.400,1.300,0.400,11.000,0.104,1.500,2008,8.800,0.000,,0,0,0.878
Jason Richardson,27,CHA,82,38.400,5.400,3.100,1.400,0.700,21.800,17.900,0.441,7.300,0.406,0.524,0.752,2.000,2.900,18.400,0.554,25.900,4.000,7.400,8.000,15.200,1.900,1.400,9.300,0.113,3.000,2008,10.600,0.000,,0,0,1.000
Quentin Richardson,27,NYK,65,28.300,4.800,1.800,0.700,0.200,8.100,8.500,0.359,3.300,0.322,0.421,0.682,1.100,2.400,8.500,0.444,16.100,-0.400,0.300,9.700,9.900,1.300,0.600,10.400,0.008,-2.800,2008,7.500,0.000,,0,0,0.793
Nate Robinson,23,NYK,72,26.200,3.100,2.900,0.800,0.000,12.700,10.900,0.423,4.100,0.332,0.485,0.786,1.400,2.600,15.300,0.526,23.100,1.000,3.200,6.700,19.700,1.700,0.000,10.600,0.082,0.000,2008,6.800,0.000,,0,0,0.878
Rajon Rondo,21,BOS,77,29.900,4.200,5.100,1.700,0.200,10.600,9.300,0.492,0.200,0.263,0.496,0.611,1.900,2.400,15.600,0.515,18.900,2.400,7.200,8.300,28.200,3.000,0.500,15.700,0.150,2.100,2008,11.200,0.000,,0,0,0.939
Brandon Roy,23,POR,74,37.700,4.700,5.800,1.100,0.200,19.100,15.800,0.454,2.900,0.340,0.485,0.753,1.800,2.000,19.400,0.531,24.900,3.600,8.000,7.300,28.200,1.500,0.400,9.300,0.138,3.300,2008,11.800,0.000,,0,0,0.902
John Salmons,28,SAC,81,31.100,4.300,2.600,1.100,0.400,12.500,9.900,0.477,1.500,0.325,0.501,0.823,2.100,2.100,13.900,0.556,19.200,0.900,3.700,8.200,13.400,1.900,1.000,15.700,0.071,-0.600,2008,8.400,0.000,,0,0,0.988
Ramon Sessions,21,MIL,17,26.500,3.400,7.500,1.000,0.200,8.100,6.900,0.436,0.400,0.429,0.449,0.780,2.100,1.500,16.200,0.507,17.100,0.100,0.700,7.600,43.500,2.000,0.500,21.000,0.077,-1.000,2008,12.100,0.000,,0,0,0.207
Josh Smith,22,ATL,81,35.500,8.200,3.400,1.500,2.800,17.200,14.000,0.457,1.200,0.253,0.468,0.710,3.000,3.300,19.000,0.520,25.000,3.700,5.800,13.500,16.600,2.300,5.900,15.500,0.097,3.000,2008,15.900,0.000,,0,0,0.988
DeShawn Stevenson,26,WAS,82,31.300,2.900,3.100,0.800,0.200,11.200,9.500,0.386,5.000,0.383,0.487,0.797,1.200,1.300,12.600,0.529,17.400,1.200,4.100,5.400,15.500,1.400,0.500,10.500,0.077,-0.200,2008,7.000,0.000,,0,0,1.000
Peja Stojaković,30,NOH,77,35.200,4.300,1.200,0.700,0.100,16.400,13.300,0.440,6.800,0.441,0.552,0.929,0.800,1.600,15.700,0.581,19.700,2.500,8.100,7.100,5.600,1.100,0.300,5.300,0.144,1.700,2008,6.300,0.000,,0,0,0.939
Sebastian Telfair,22,MIN,60,32.200,2.300,5.900,1.000,0.200,9.300,9.300,0.401,1.900,0.281,0.430,0.743,1.900,2.900,10.400,0.462,16.600,-0.600,0.700,4.000,27.700,1.600,0.500,15.600,0.018,-3.100,2008,9.400,0.000,,0,0,0.732
Jason Terry,30,DAL,82,31.500,2.500,3.200,1.100,0.200,15.500,12.300,0.467,4.400,0.375,0.535,0.857,1.100,2.100,17.800,0.574,21.700,3.300,8.600,4.700,17.500,1.800,0.500,7.700,0.160,3.100,2008,7.000,0.000,,0,0,1.000
Tim Thomas,30,LAC,63,30.800,5.100,2.700,0.600,0.500,12.400,11.200,0.413,4.300,0.306,0.472,0.752,1.600,3.000,12.200,0.505,20.700,0.300,1.700,9.600,15.700,1.100,1.100,11.300,0.042,-1.400,2008,8.900,0.000,,0,0,0.768
Al Thornton,24,LAC,79,27.300,4.500,1.200,0.600,0.500,12.700,11.000,0.429,1.600,0.331,0.454,0.743,1.600,2.500,12.700,0.504,24.100,-0.800,1.100,9.600,8.400,1.100,1.500,11.400,0.025,-3.400,2008,6.800,0.000,,0,0,0.963
Jamaal Tinsley,29,IND,39,33.200,3.600,8.400,1.700,0.300,11.900,11.900,0.380,3.600,0.284,0.423,0.720,3.300,2.500,12.800,0.458,21.300,0.100,0.800,5.900,38.800,2.500,0.600,20.400,0.028,-1.500,2008,14.000,0.000,,0,0,0.476
Hedo Türkoğlu,28,ORL,82,36.900,5.700,5.000,0.900,0.300,19.500,14.900,0.456,5.100,0.400,0.524,0.829,3.000,3.000,17.800,0.576,24.800,3.600,9.000,9.000,22.900,1.300,0.600,15.000,0.143,2.700,2008,11.900,0.000,,0,0,1.000
Beno Udrih,25,SAC,65,32.000,3.300,4.300,0.900,0.200,12.800,10.900,0.463,2.100,0.387,0.501,0.850,2.300,2.100,13.300,0.540,19.800,0.300,2.400,6.200,22.200,1.400,0.400,16.100,0.056,-1.400,2008,8.700,0.000,,0,0,0.793
Anderson Varejão,25,CLE,48,27.500,8.300,1.100,0.800,0.500,6.700,6.100,0.461,0.000,0.000,0.461,0.598,1.200,2.800,12.000,0.485,13.400,-0.200,2.400,17.200,6.300,1.500,1.600,15.100,0.086,-2.600,2008,10.700,0.000,,0,0,0.585
Dwyane Wade,26,MIA,51,38.300,4.200,6.900,1.700,0.700,24.600,18.400,0.469,1.500,0.286,0.480,0.758,4.400,2.700,21.500,0.549,33.100,2.300,3.300,6.600,37.500,2.400,1.500,16.400,0.082,2.900,2008,13.500,0.000,,0,0,0.622
Gerald Wallace,25,CHA,62,38.300,6.000,3.500,2.100,0.900,19.400,14.600,0.449,3.600,0.321,0.488,0.731,2.900,3.000,17.500,0.547,24.600,2.500,4.600,9.000,15.900,2.900,1.900,14.100,0.094,2.100,2008,12.500,0.000,,0,0,0.756
Earl Watson,28,SEA,78,29.100,2.900,6.800,0.900,0.100,10.700,9.600,0.454,1.700,0.371,0.487,0.766,2.200,2.000,14.600,0.517,18.800,0.600,2.900,5.400,36.600,1.500,0.300,17.800,0.061,-0.900,2008,10.700,0.000,,0,0,0.951
Martell Webster,21,POR,75,28.400,3.900,1.200,0.600,0.400,10.700,8.700,0.422,4.200,0.388,0.516,0.735,1.100,2.100,12.000,0.548,18.000,1.000,3.500,8.200,7.000,1.100,1.000,10.200,0.079,-0.200,2008,6.100,0.000,,0,0,0.915
David West,27,NOH,76,37.800,8.900,2.300,0.800,1.300,20.600,17.200,0.482,0.300,0.240,0.484,0.850,2.200,2.700,19.900,0.535,26.300,2.600,8.400,13.700,10.600,1.200,2.700,10.200,0.140,1.500,2008,13.300,0.000,,0,0,0.927
Chris Wilcox,25,SEA,62,28.000,7.000,1.200,0.700,0.600,13.400,10.300,0.524,0.000,0.000,0.524,0.645,1.700,2.800,16.300,0.554,21.200,0.400,3.400,13.600,7.100,1.300,1.500,12.100,0.093,-1.000,2008,9.500,0.000,,0,0,0.756
Jason Williams,32,MIA,67,28.100,1.900,4.600,1.200,0.100,8.800,8.200,0.384,4.100,0.353,0.472,0.863,1.400,1.400,12.700,0.502,17.000,0.600,2.100,4.100,27.300,2.300,0.200,13.500,0.052,-0.900,2008,7.800,0.000,,0,0,0.817
Marvin Williams,21,ATL,80,34.600,5.700,1.700,1.000,0.400,14.800,11.500,0.462,0.100,0.100,0.462,0.822,1.600,2.800,14.500,0.540,20.100,0.400,5.700,9.600,8.300,1.500,0.900,10.400,0.099,-1.400,2008,8.800,0.000,,0,0,0.976
Mo Williams,25,MIL,66,36.500,3.500,6.300,1.200,0.200,17.200,13.900,0.480,3.500,0.385,0.528,0.856,2.800,2.800,17.000,0.566,22.100,1.400,4.500,5.600,30.000,1.700,0.300,15.300,0.091,0.300,2008,11.200,0.000,,0,0,0.805
Metta World Peace,28,SAC,57,38.100,5.800,3.500,2.300,0.700,20.500,16.900,0.453,3.900,0.380,0.497,0.719,2.600,2.800,18.800,0.535,25.500,2.600,4.700,8.900,16.200,3.100,1.400,11.900,0.103,2.800,2008,12.300,0.000,,0,0,0.695
Dorell Wright,22,MIA,44,25.100,5.000,1.400,0.700,0.900,7.900,6.700,0.488,0.300,0.364,0.495,0.826,0.700,1.800,14.400,0.537,15.100,0.600,2.200,11.900,9.400,1.400,3.000,8.200,0.096,0.100,2008,8.000,0.000,,0,0,0.537
Shareef Abdur-Rahim,30,SAC,80,25.200,5.000,1.400,0.700,0.500,9.900,8.200,0.474,0.300,0.150,0.476,0.726,1.500,3.000,13.100,0.524,19.500,-0.200,2.800,11.600,9.200,1.300,1.500,13.300,0.067,-2.500,2007,7.600,0.000,,0,0,0.976
Ray Allen,31,SEA,55,40.300,4.500,4.100,1.500,0.200,26.400,21.000,0.438,8.100,0.372,0.510,0.903,2.800,2.100,21.600,0.564,29.500,3.200,6.300,6.700,19.000,1.900,0.400,10.700,0.136,3.700,2007,10.300,0.000,,0,0,0.671
Rafer Alston,30,HOU,82,37.100,3.400,5.400,1.600,0.100,13.300,12.400,0.375,6.500,0.363,0.470,0.734,2.100,2.400,12.900,0.496,19.400,2.000,6.600,5.300,24.100,2.200,0.300,13.400,0.104,0.600,2007,10.500,0.000,,0,0,1.000
Chucky Atkins,32,MEM,75,27.500,1.900,4.600,0.700,0.100,13.200,9.500,0.434,4.100,0.379,0.515,0.810,1.700,1.800,17.400,0.580,21.400,1.200,4.900,4.000,27.900,1.200,0.100,13.000,0.114,0.400,2007,7.300,0.000,,0,0,0.915
Leandro Barbosa,24,PHO,80,32.700,2.700,4.000,1.200,0.200,18.100,13.900,0.476,5.500,0.434,0.562,0.845,1.800,2.600,18.400,0.595,23.400,3.100,8.200,4.800,18.700,1.800,0.400,10.700,0.151,2.700,2007,8.100,0.000,,0,0,0.976
Andrea Bargnani,21,TOR,65,25.100,3.900,0.800,0.500,0.800,11.600,9.600,0.427,4.100,0.373,0.507,0.824,1.600,2.800,12.800,0.546,22.600,0.100,1.900,9.200,5.100,1.000,2.500,13.500,0.057,-1.800,2007,6.000,0.000,,0,0,0.793
