"Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"20","Henry Bibby","PG","25","NOJ","28","524","14.4",".481",".425","3.3","6.3","4.8","21.9","2.1","0.0","0.1","0.3","0.4",".035","-1.7","-0.9","-2.6","-0.1"
"21","Dave Bing*","PG","31","DET","79","3222","17.1",".493",".318","3.0","6.8","4.9","28.9","1.7","0.4","4.0","1.3","5.3",".080","1.2","-1.6","-0.4","1.3"
"22","John Block","PF","30","TOT","54","939","17.0",".528",".416","7.7","18.2","13.0","8.6","2.1","1.9","1.4","1.7","3.1",".159","0.3","1.1","1.4","0.8"
"22","John Block","PF","30","NOJ","4","57","15.2",".404",".345","10.2","21.8","15.8","18.1","3.1","0.9","-0.1","0.1","0.0",".002","-3.5","0.2","-3.3","0.0"
"22","John Block","PF","30","CHI","50","882","17.2",".539",".423","7.6","17.9","12.8","8.0","2.1","2.0","1.5","1.6","3.1",".170","0.5","1.2","1.7","0.8"
"23","Tom Boerwinkle","C","29","CHI","80","1175","18.6",".539",".351","9.5","24.5","17.0","33.8","1.0","2.2","1.6","2.2","3.8",".153","1.7","2.9","4.5","1.9"
"24","Freddie Boyd","PG","24","PHI","66","1362","9.6",".426",".232","1.2","5.5","3.3","17.2","1.5","0.2","-1.0","0.7","-0.3","-0.010","-3.7","-0.9","-4.5","-0.9"
"25","Ken Boyd","SF","22","NOJ","6","25","25.3",".533",".846","11.6","8.3","10.0","14.4","5.3","0.0","0.0","0.0","0.1",".109","-3.1","0.3","-2.7","0.1"
"26","Steve Bracey","SG","24","GSW","42","340","12.4",".453",".292","2.9","8.1","5.4","19.6","1.8","0.2","0.0","0.2","0.3",".037","-2.4","-0.9","-3.3","-0.1"
"27","Bill Bradley*","SF","31","NYK","79","2787","11.1",".473",".159","2.4","7.1","4.7","12.9","1.2","0.3","1.4","1.4","2.8",".048","-1.6","-0.7","-2.3","-0.2"
"28","Jim Brewer","PF","23","CLE","82","1991","14.6",".483",".249","10.9","16.2","13.6","9.0","1.8","1.2","2.0","2.4","4.4",".107","0.8","0.2","0.9","1.5"
"29","Bill Bridges","PF","35","TOT","32","415","9.8",".403",".366","14.9","16.2","15.5","9.4","1.2","0.6","-0.1","0.3","0.2",".022","-2.8","-0.8","-3.7","-0.2"
"29","Bill Bridges","PF","35","LAL","17","307","9.6",".399",".526","14.4","14.8","14.6","11.1","1.0","0.8","-0.1","0.2","0.1",".014","-2.7","-0.7","-3.4","-0.1"
"29","Bill Bridges","PF","35","GSW","15","108","10.6",".410",".111","16.2","20.0","18.1","4.6","1.7","0.0","0.0","0.1","0.1",".047","-3.3","-1.1","-4.3","-0.1"
"30","John Brisker","SG","27","SEA","21","276","15.4",".498",".348","5.5","6.7","6.1","10.4","1.2","0.6","0.3","0.1","0.5",".080","-0.7","-1.6","-2.3","0.0"
"31","Allan Bristow","SF","23","PHI","72","1101","14.7",".486",".389","10.1","13.3","11.7","13.0","1.1","0.1","1.1","0.8","1.9",".082","0.3","-1.1","-0.8","0.3"
"32","Gary Brokaw","SG","21","MIL","73","1639","12.2",".499",".358","2.4","6.8","4.7","18.5","0.9","0.6","0.8","0.8","1.6",".047","-1.6","-1.1","-2.6","-0.3"
"33","Fred Brown","SG","26","SEA","81","2669","19.8",".513",".177","4.3","8.9","6.6","17.7","3.2","0.3","5.0","2.9","7.9",".142","2.4","0.6","3.0","3.4"
"34","John Brown","SF","23","ATL","73","1986","13.9",".513",".365","8.4","13.3","10.7","9.5","1.2","0.4","3.0","1.2","4.2",".101","0.2","-0.7","-0.6","0.7"
