"Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"42","Richie Guerin*","SG","29","NYK","78","3348","21.1",".516",".402","9.2","3.0","12.1",".174"
"43","Cliff Hagan*","SF","30","STL","77","2784","19.6",".524",".295","7.3","1.2","8.5",".146"
"44","Swede Halbrook","C","29","SYR","64","908","11.7",".409",".358","-0.9","1.5","0.6",".033"
"45","Vern Hatton","SG","26","TOT","40","898","9.3",".417",".378","-0.4","0.4","-0.1","-0.004"
"45","Vern Hatton","SG","26","CHP","15","396","9.3",".403",".473","-0.3","0.2","-0.1","-0.016"
"45","Vern Hatton","SG","26","STL","25","502","9.2",".429",".303","-0.1","0.2","0.1",".006"
"46","Tom Hawkins","SF","25","LAL","79","1903","10.6",".450",".315","0.3","1.8","2.1",".054"
"47","Tom Heinsohn*","PF","27","BOS","79","2383","20.2",".482",".271","3.7","5.5","9.3",".187"
"48","Cleo Hill","SG","23","STL","58","1050","9.2",".433",".443","-0.1","0.4","0.3",".015"
"49","Ron Horn","SF","23","STL","3","25","-6.5",".116",".167","-0.2","0.0","-0.2","-0.397"
"50","Bailey Howell*","SF","25","DET","79","2857","19.2",".539",".513","7.6","3.1","10.7",".180"
"51","Hot Rod Hundley","SG","27","LAL","78","1492","9.6",".380",".250","-1.5","1.6","0.1",".003"
"52","Darrall Imhoff","C","23","NYK","76","1481","9.2",".416",".288","-0.7","1.4","0.7",".021"
"53","Andy Johnson","SF","29","CHP","71","2193","13.8",".501",".555","3.4","1.2","4.6",".100"
"54","Howie Jolliff","PF","23","LAL","64","1094","9.1",".433",".308","-0.1","1.3","1.2",".053"
"55","K.C. Jones*","PG","29","BOS","80","2054","11.8",".445",".320","0.5","4.4","4.9",".115"
"56","Sam Jones*","SG","28","BOS","78","2388","18.1",".507",".231","4.9","4.7","9.6",".193"
"57","Willie Jones","PG","25","DET","69","1006","9.9",".402",".213","-1.0","0.9","-0.1","-0.006"
